"Stimulus","Model","Vertex_Nb","Texture_Size","Graphic_lpips","Pseudo_MOS"
"screenshot_cake_1554_256","cake",1554,"256",0.90535311827957,1.37858752688172
"screenshot_cake_1866 (1)_512","cake",1866,"512",0.705419946236559,2.17832021505376
"screenshot_cake_1866 (2)_1024","cake",1866,"1024",0.53416052688172,2.86335789247312
"screenshot_cake_1866 (3)_2048","cake",1866,"2048",0.502258602150538,2.99096559139785
"screenshot_cake_1866_256","cake",1866,"256",0.889944784946237,1.44022086021505
"screenshot_cake_2240 (1)_512","cake",2240,"512",0.676687387096774,2.2932504516129
"screenshot_cake_2240 (2)_1024","cake",2240,"1024",0.497497967741935,3.01000812903226
"screenshot_cake_2240 (3)_2048","cake",2240,"2048",0.463808774193548,3.14476490322581
"screenshot_cake_2240_256","cake",2240,"256",0.879214451612903,1.48314219354839
"screenshot_cake_2690 (1)_512","cake",2690,"512",0.651881806451613,2.39247277419355
"screenshot_cake_2690 (2)_1024","cake",2690,"1024",0.460804064516129,3.15678374193548
"screenshot_cake_2690 (3)_2048","cake",2690,"2048",0.423820172043011,3.30471931182796
"screenshot_cake_2690_256","cake",2690,"256",0.872112258064516,1.51155096774194
"screenshot_cake_3228 (1)_512","cake",3228,"512",0.606899344086022,2.57240262365591
"screenshot_cake_3228 (2)_1024","cake",3228,"1024",0.405070430107527,3.37971827956989
"screenshot_cake_3228 (3)_2048","cake",3228,"2048",0.357879430107527,3.56848227956989
"screenshot_cake_3228_256","cake",3228,"256",0.85219352688172,1.59122589247312
"screenshot_cake_3874 (1)_512","cake",3874,"512",0.566335086021505,2.73465965591398
"screenshot_cake_3874 (2)_1024","cake",3874,"1024",0.352758849462366,3.58896460215054
"screenshot_cake_3874 (3)_2048","cake",3874,"2048",0.304579774193548,3.78168090322581
"screenshot_cake_3874_256","cake",3874,"256",0.82793076344086,1.68827694623656
"screenshot_cake_4650 (1)_512","cake",4650,"512",0.545715139784946,2.81713944086022
"screenshot_cake_4650 (2)_1024","cake",4650,"1024",0.322238709677419,3.71104516129032
"screenshot_cake_4650 (3)_2048","cake",4650,"2048",0.269774182795699,3.9209032688172
"screenshot_cake_4650_256","cake",4650,"256",0.809088032258064,1.76364787096774
"screenshot_cake_5580 (1)_512","cake",5580,"512",0.51977247311828,2.92091010752688
"screenshot_cake_5580 (2)_1024","cake",5580,"1024",0.29137347311828,3.83450610752688
"screenshot_cake_5580 (3)_2048","cake",5580,"2048",0.23416823655914,4.06332705376344
"screenshot_cake_5580_256","cake",5580,"256",0.793941075268817,1.82423569892473
"screenshot_cake_6696 (1)_512","cake",6696,"512",0.489179483870968,3.04328206451613
"screenshot_cake_6696 (2)_1024","cake",6696,"1024",0.252255741935484,3.99097703225806
"screenshot_cake_6696 (3)_2048","cake",6696,"2048",0.190742537634409,4.23702984946237
"screenshot_cake_6696_256","cake",6696,"256",0.777287559139785,1.89084976344086
"screenshot_cake_8036 (1)_512","cake",8036,"512",0.476064494623656,3.09574202150538
"screenshot_cake_8036 (2)_1024","cake",8036,"1024",0.232072591397849,4.0717096344086
"screenshot_cake_8036 (3)_2048","cake",8036,"2048",0.165418569892473,4.33832572043011
"screenshot_cake_8036_256","cake",8036,"256",0.769638677419355,1.92144529032258
"screenshot_cake_9644 (1)_512","cake",9644,"512",0.454357860215054,3.18256855913978
"screenshot_cake_9644 (2)_1024","cake",9644,"1024",0.209042516129032,4.16382993548387
"screenshot_cake_9644 (3)_2048","cake",9644,"2048",0.136479462365591,4.45408215053763
"screenshot_cake_9644_256","cake",9644,"256",0.755565387096774,1.9777384516129
"screenshot_cake_11574 (1)_512","cake",11574,"512",0.447395107526882,3.21041956989247
"screenshot_cake_11574 (2)_1024","cake",11574,"1024",0.195912462365591,4.21635015053763
"screenshot_cake_11574 (3)_2048","cake",11574,"2048",0.118068268817204,4.52772692473118
"screenshot_cake_11574_256","cake",11574,"256",0.754289892473118,1.98284043010753
"screenshot_cake_13890 (1)_512","cake",13890,"512",0.440413989247312,3.23834404301075
"screenshot_cake_13890 (2)_1024","cake",13890,"1024",0.183510301075269,4.26595879569892
"screenshot_cake_13890 (3)_2048","cake",13890,"2048",0.0982094516129032,4.60716219354839
"screenshot_cake_13890_256","cake",13890,"256",0.746937806451613,2.01224877419355
"screenshot_cake_16670 (1)_512","cake",16670,"512",0.428767860215054,3.28492855913978
"screenshot_cake_16670 (2)_1024","cake",16670,"1024",0.169744795698925,4.3210208172043
"screenshot_cake_16670 (3)_2048","cake",16670,"2048",0.0832081612903226,4.66716735483871
"screenshot_cake_16670_256","cake",16670,"256",0.738314172043011,2.04674331182796
"screenshot_cake_20006 (1)_512","cake",20006,"512",0.426746838709677,3.29301264516129
"screenshot_cake_20006 (2)_1024","cake",20006,"1024",0.161968655913978,4.35212537634409
"screenshot_cake_20006 (3)_2048","cake",20006,"2048",0.071514559139785,4.71394176344086
"screenshot_cake_20006_256","cake",20006,"256",0.73883423655914,2.04466305376344
"screenshot_cake_24008 (1)_512","cake",24008,"512",0.41865876344086,3.32536494623656
"screenshot_cake_24008 (2)_1024","cake",24008,"1024",0.15180064516129,4.39279741935484
"screenshot_cake_24008 (3)_2048","cake",24008,"2048",0.0568137956989247,4.7727448172043
"screenshot_cake_24008_256","cake",24008,"256",0.732641279569892,2.06943488172043
"screenshot_cake_28810 (1)_512","cake",28810,"512",0.412789344086022,3.34884262365591
"screenshot_cake_28810 (2)_1024","cake",28810,"1024",0.145418516129032,4.41832593548387
"screenshot_cake_28810 (3)_2048","cake",28810,"2048",0.0495591720430108,4.80176331182796
"screenshot_cake_28810_256","cake",28810,"256",0.728642150537634,2.08543139784946
"screenshot_cake_34574 (1)_512","cake",34574,"512",0.407615462365591,3.36953815053763
"screenshot_cake_34574 (2)_1024","cake",34574,"1024",0.135541311827957,4.45783475268817
"screenshot_cake_34574 (3)_2048","cake",34574,"2048",0.0370609032258064,4.85175638709677
"screenshot_cake_34574_256","cake",34574,"256",0.727000623655914,2.09199750537634
"screenshot_cake_41490 (1)_512","cake",41490,"512",0.400386290322581,3.39845483870968
"screenshot_cake_41490 (2)_1024","cake",41490,"1024",0.12850935483871,4.48596258064516
"screenshot_cake_41490 (3)_2048","cake",41490,"2048",0.0284371290322581,4.88625148387097
"screenshot_cake_41490_256","cake",41490,"256",0.721620688172043,2.11351724731183
"screenshot_cake_49790 (1)_512","cake",49790,"512",0.396452838709677,3.41418864516129
"screenshot_cake_49790 (2)_1024","cake",49790,"1024",0.119985107526882,4.52005956989247
"screenshot_cake_49790 (3)_2048","cake",49790,"2048",0.0177035268817204,4.92918589247312
"screenshot_cake_49790_256","cake",49790,"256",0.716695172043011,2.13321931182796
"screenshot_cake_59750 (1)_512","cake",59750,"512",0.394201322580645,3.42319470967742
"screenshot_cake_59750 (2)_1024","cake",59750,"1024",0.114277322580645,4.54289070967742
"screenshot_cake_59750 (3)_2048","cake",59750,"2048",0.0099,4.9604
"screenshot_cake_59750_256","cake",59750,"256",0.714113795698925,2.1435448172043
"screenshot_cake_71702 (1)_512","cake",71702,"512",0.387141215053763,3.45143513978495
"screenshot_cake_71702 (2)_1024","cake",71702,"1024",0.107602903225806,4.56958838709677
"screenshot_cake_71702_256","cake",71702,"256",0.709785268817204,2.16085892473118
